Estrato,Estadillo,Cla,Subclase,Especie,CD,NPies,ABas,VCC,VSC,IAVC,VLE,BA,BR,CA,CR,Proceso,Provincia
"01","1099","A","1","045",20,31.83101550488765,1.06605625,1.872550238278367,1.420164887312863,0.05124941074842614,0.8843688642297723,5.072395642015667,3.44765914711977,2.536197821007833,1.723829573559885,"45","45"
"01","1102","A","1","044",10,127.3240620195506,0.912025,2.039438708101359,1.345845340572129,0.05968571708430351,0.359142695645964,4.548353058483125,1.962474097511133,2.274176529241562,0.9812370487555666,"45","45"
"01","1102","A","1","044",15,159.1550775244383,2.59960625,6.228229808199511,4.330969614359849,0.1603180430226709,1.24778895231863,12.74133090608521,5.593772023083853,6.370665453042604,2.796886011541927,"45","45"
"01","1102","A","1","044",20,63.6620310097753,1.63378125,3.821700685642038,2.698506500732,0.09647328250296303,0.868384593201274,8.025935063676572,3.515532341903305,4.012967531838286,1.757766170951652,"45","45"
"01","1102","A","1","045",10,763.9443721173037,5.426225000000001,10.82943303035445,5.782044820016619,0.5184258971518673,2.925285444525073,21.76991265569346,17.54858081417371,10.88495632784673,8.774290407086857,"45","45"
"01","1102","A","1","045",15,222.8171085342136,3.7515375,7.946198262870413,5.714430737431339,0.2472386048195026,2.579492130466716,15.54882726868292,12.13258923029421,7.774413634341458,6.066294615147107,"45","45"
"01","1102","A","1","276",15,63.6620310097753,1.39043125,3.273087183775766,2.45906479397041,0.1412496633934021,0.8800545182571479,3.255011849837304,3.788556590770916,1.627505924918652,1.894278295385458,"45","45"
"01","1103","A","1","045",10,127.3240620195506,0.8099999999999999,1.079807603968109,0.3466259302185745,0.08144614234068503,0.4199613064065593,3.249704767331192,2.619565251990235,1.624852383665596,1.309782625995117,"45","45"
"01","1103","A","1","045",15,95.49304651466295,1.85275625,3.861674780662893,2.812005099320169,0.1145263335128369,1.325058299470693,7.866455090180341,5.991871472725595,3.93322754509017,2.995935736362798,"45","45"
"01","1103","A","1","045",20,31.83101550488765,0.9751562500000001,2.251447663203797,1.776647936507225,0.04891996877313037,0.7888138602978175,4.56462366394901,3.153685713285311,2.282311831974505,1.576842856642655,"45","45"
"01","1103","A","1","045",25,42.44135400651687,1.849416666666667,3.93185516386704,3.157976394441797,0.07818981852273341,1.655074363799694,9.540731642515413,5.981071156113094,4.770365821257706,2.990535578056547,"45","45"
"01","1103","A","1","045",35,14.14711800217229,1.533469444444444,2.911357302744074,2.455125002300731,0.04100975474401752,1.773659249135871,11.15002730393774,4.959287989698068,5.575013651968872,2.479643994849034,"45","45"
"01","1103","A","1","055",10,127.3240620195506,0.9216,2.73490996898927,1.549669658591016,0.5463804012366601,0.3382044152467213,5.793803010577447,4.21257261450412,2.896901505288723,2.10628630725206,"45","45"
"11","1104","A","1","044",45,5.092962480782025,0.8779690000000001,1.92803594174058,1.567040683370525,0.03291101104595489,0.729988713175029,3.792974532577453,1.889193191982404,1.896487266288727,0.944596595991202,"45","45"
"11","1104","A","1","044",55,5.092962480782025,1.311025,3.108376894141268,2.623221378418851,0.03892462040319498,1.197738314912448,5.226673027034082,2.821032980115165,2.613336513517041,1.410516490057583,"45","45"
"11","1104","A","1","055",10,127.3240620195506,0.6241,1.840272753048832,0.7854237713307888,0.5290170770761931,0.2070369510702576,4.210085701526759,2.852719801119815,2.105042850763379,1.426359900559908,"45","45"
"11","1104","A","1","055",15,318.3101550488765,5.6443625,26.23058934368091,20.43280831053227,1.560908303599106,2.624726486742443,44.15029992105165,25.80000748028865,22.07514996052582,12.90000374014432,"45","45"
"11","1104","A","1","055",20,127.3240620195506,3.62748125,17.81972752247397,14.42488383600048,0.7043067652147438,1.899351920677657,30.1876573076736,16.58097675062627,15.0938286538368,8.290488375313137,"45","45"
"11","1104","A","1","055",25,42.44135400651687,1.771563888888889,8.397233964210129,6.903148882041732,0.2675931025690604,1.023654317221419,14.72018773579267,8.097701305531418,7.360093867896336,4.048850652765709,"45","45"
"11","1104","A","1","055",35,14.14711800217229,1.258136111111111,5.104404147838738,4.263401612259395,0.1281624485671429,0.8841172414860115,9.87257466068136,5.750856908621288,4.93628733034068,2.875428454310644,"45","45"
"11","1104","A","1","055",55,5.092962480782025,1.304164,5.716097548192284,4.815496451774418,0.09582005876731502,1.205221274326804,12.07768292106863,5.961247342905982,6.038841460534316,2.980623671452991,"45","45"
"11","1104","A","1","055",60,5.092962480782025,1.331716,5.597829026150083,4.715964490003384,0.09742810685897617,1.237364437237215,11.93907905743858,6.087185711693761,5.969539528719292,3.04359285584688,"45","45"
